pair_id	han_sentence	viet_sentence
HVB_005_0177	今皇上 註 毅祖恩王	ĐỜI VUA HIỂN TÔNG VĨNHHOÀNG ĐẾ Nghị Tổ ânvương chúa TrịnhDinh
HVB_005_0178	阮春暉 良才芮東人四十九 歲 中仕至都給事中	NguyēnxuânHuy 阮 春暉 Người hạt Lươngtài làng Dueđòng thi đỗ khi tuổi
HVB_005_0179	阮輝漌 嘉林富市人三十二 歲 中會元輝胤之子輝潤之孫廷試同進士辭而不仕	Người hạt Thượngphước làng Chương dương thi đỗ khi tuổi làm đến Hiếnstr Nguyên huy Can 阮輝
HVB_005_0180	鄧用周 山明潤費人三十 歲 中仕至待制	ĐặngdụngChâu 鄧用周 Người hạt Sơnminh làng Độngphí thi đỗ khi tuổi
HVB_005_0181	范同院 東林 堆人五十 歲 中	Phạmdong Vin 范同院 Người hạt Thanhlàm làng Lađôi thi đỗ khi tuổi
HVB_005_0182	范功志 青池姜亭人選舉三十六 歲 中應制合格仕至校理	Người hạt Thanhtrì làng Khươngdình được chọn cử thi đỗ khi tuổi ứngchế hợp cách làm đến Hiệulý
HVB_005_0183	阮光表 宜陽乃山人二十九 歲 中	NguyènquangBiểu 阮 表 Người hạt Nghidương làng Nåisơn thi đỗ khi tuổi
HVB_005_0184	杜輝琚 東山桐鄉人四仲三十 歲 中	ChâunguyênMại 朱元 Người hạt Đôngngạn làng Dụctú thi đỗ khi tuổi
HVB_005_0185	黎仲琠 青池仁睦門人省元四仲四十一 歲 中	ngụ xã Thiênlộc phủ Thừathiên thi đỗ khi tuỗi BạchđôngNgười xã Lạc trường huyện Kimbằng phủ Lýnhân
HVB_005_0186	武德奎 唐安花堂人仕至戶部參知降郎中	Người làng Phúlương huyện Quảngđiền phủ Thừathiên NgôvănĐộ 吳文度
